Region,Suburb,Year,Total Description,Value
Inner North,Ainslie,2011,"Engagement in employment, education or training - Census : Not engaged (%)",63.6
Inner North,Ainslie,2011,Labour force status - Census : Employed (no.),11.0
Inner North,Ainslie,2011,Labour force status - Census : % of total labour force employed,100.0
Inner North,Ainslie,2011,Labour force status - Census : Unemployed (no.),0.0
Inner North,Ainslie,2011,Labour force status - Census : % of total labour force unemployed,0.0
Inner North,Ainslie,2011,Labour force status - Census : In the labour force (no.),11.0
Inner North,Ainslie,2011,Labour force status - Census : Labour force participation rate (%),25.0
Inner North,Ainslie,2011,Labour force status - Census : Not in the labour force (%),72.7
Inner North,Ainslie,2011,Labour force status - Census : Total responding population aged 15-64 years (no.),44.0
Inner North,Ainslie,2011,Labour force status - Census : % of total Census responding population employed,25.0
Inner North,Ainslie,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),12.0
Inner North,Ainslie,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),25.0
Inner North,Ainslie,2011,Unpaid child care - Census : Cared for own child/children (no.),8.0
Inner North,Ainslie,2011,Unpaid child care - Census : Cared for own child/children (%),16.7
Inner North,Ainslie,2011,Unpaid child care - Census : Cared for other child/children (no.),4.0
Inner North,Ainslie,2011,Unpaid child care - Census : Cared for other child/children (%),8.3
Inner North,Ainslie,2011,Unpaid child care - Census : Total provided unpaid child care (no.),13.0
Inner North,Ainslie,2011,Unpaid child care - Census : Total provided unpaid child care (%),27.1
Inner North,Ainslie,2011,Unpaid child care - Census : Did not provide unpaid child care (no.),29.0
Inner North,Ainslie,2011,Unpaid child care - Census : Did not provide unpaid child care (%),60.4
Inner North,Ainslie,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),5.0
Inner North,Ainslie,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),10.4
Inner North,Ainslie,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),5.0
Inner North,Ainslie,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),7.8
Inner North,Ainslie,2011,Tenure type - Census : Renter (no.),48.0
Inner North,Ainslie,2011,Tenure type - Census : Renter (%),75.0
Inner North,Ainslie,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),0.0
Inner North,Ainslie,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),0.0
Inner North,Ainslie,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),4.0
Inner North,Ainslie,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),3.0
Inner North,Ainslie,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),42.9
Inner North,Ainslie,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),7.0
Inner North,Ainslie,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",5.0
Inner North,Ainslie,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",27.8
Inner North,Ainslie,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),18.0
Inner North,Ainslie,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),11.0
Inner North,Ainslie,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),39.3
Inner North,Ainslie,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),28.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),37.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),63.8
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),5.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),8.6
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),0.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),0.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),0.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),0.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),18.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),31.0
Inner North,Ainslie,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),58.0
Gungahlin,Amaroo,2011,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),0.0
Gungahlin,Amaroo,2011,Language - Census : Speaks English at home (%),100.0
Gungahlin,Amaroo,2011,"Engagement in employment, education or training - Census : Fully engaged (%)",71.4
Gungahlin,Amaroo,2011,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",8.2
Gungahlin,Amaroo,2011,"Engagement in employment, education or training - Census : Not engaged (%)",22.4
Gungahlin,Amaroo,2011,Labour force status - Census : Employed (no.),30.0
Gungahlin,Amaroo,2011,Labour force status - Census : % of total labour force employed,81.1
Gungahlin,Amaroo,2011,Labour force status - Census : Unemployed (no.),3.0
Gungahlin,Amaroo,2011,Labour force status - Census : % of total labour force unemployed,8.1
Gungahlin,Amaroo,2011,Labour force status - Census : In the labour force (no.),37.0
