Region,Year,Total Description,Value
Gungahlin,2021,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),25.5
Gungahlin,2021,Language - Census : Speaks English at home (%),1125.8
Gungahlin,2021,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),526.3
Gungahlin,2021,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),498.0
Gungahlin,2021,Tenure type - Census : Renter (%),658.7
Gungahlin,2021,Tenure type - Census : Renter (no.),729.0
Gungahlin,2021,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),123.3
Gungahlin,2021,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),105.0
Gungahlin,2021,Unpaid child care - Census : Cared for other child/children (%),79.1
Gungahlin,2021,Unpaid child care - Census : Cared for other child/children (no.),63.0
Gungahlin,2021,Unpaid child care - Census : Cared for own child/children (%),228.6
Gungahlin,2021,Unpaid child care - Census : Cared for own child/children (no.),178.0
Gungahlin,2021,Unpaid child care - Census : Did not provide unpaid child care (%),878.9
Gungahlin,2021,Unpaid child care - Census : Did not provide unpaid child care (no.),633.0
Gungahlin,2021,Unpaid child care - Census : Total provided unpaid child care (%),306.5
Gungahlin,2021,Unpaid child care - Census : Total provided unpaid child care (no.),247.0
Gungahlin,2021,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),173.9
Gungahlin,2021,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),135.0
Inner North,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),936.4
Inner North,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),50.0
Inner North,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),66.0
Inner North,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),437.0
Inner North,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),39.0
Inner North,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),97.0
Inner North,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",1186.1
Inner North,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",88.0
Inner North,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),123.0
Inner North,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),752.0
Inner North,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),155.0
Inner North,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),253.0
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),45.3
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),22.0
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),67.5
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),31.0
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),12.2
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),5.0
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),21.1
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),4.0
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),1070.5
Inner North,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),366.0
Inner North,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),423.0
Inner North,2011,"Engagement in employment, education or training - Census : Fully engaged (%)",879.6
Inner North,2011,"Engagement in employment, education or training - Census : Not engaged (%)",424.2
Inner North,2011,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",140.7
Inner North,2011,Labour force status - Census : % of total Census responding population employed,844.6
Inner North,2011,Labour force status - Census : % of total labour force employed,1278.9
Inner North,2011,Labour force status - Census : % of total labour force unemployed,155.1
Inner North,2011,Labour force status - Census : Employed (no.),221.0
Inner North,2011,Labour force status - Census : In the labour force (no.),233.0
Inner North,2011,Labour force status - Census : Labour force participation rate (%),879.3
Inner North,2011,Labour force status - Census : Not in the labour force (%),522.8
Inner North,2011,Labour force status - Census : Total responding population aged 15-64 years (no.),375.0
Inner North,2011,Labour force status - Census : Unemployed (no.),19.0
Inner North,2011,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),30.4
Inner North,2011,Language - Census : Speaks English at home (%),1311.9
Inner North,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),333.2
Inner North,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),107.0
Inner North,2011,Tenure type - Census : Renter (%),917.8
Inner North,2011,Tenure type - Census : Renter (no.),322.0
Inner North,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),179.79999999999998
Inner North,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),62.0
Inner North,2011,Unpaid child care - Census : Cared for other child/children (%),77.2
Inner North,2011,Unpaid child care - Census : Cared for other child/children (no.),26.0
Inner North,2011,Unpaid child care - Census : Cared for own child/children (%),237.4
Inner North,2011,Unpaid child care - Census : Cared for own child/children (no.),67.0
Inner North,2011,Unpaid child care - Census : Did not provide unpaid child care (%),923.1
Inner North,2011,Unpaid child care - Census : Did not provide unpaid child care (no.),289.0
Inner North,2011,Unpaid child care - Census : Total provided unpaid child care (%),317.5
Inner North,2011,Unpaid child care - Census : Total provided unpaid child care (no.),97.0
Inner North,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),304.0
Inner North,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),89.0
Inner North,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),1004.3
Inner North,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),69.0
Inner North,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),94.0
Inner North,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),928.4
Inner North,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),90.0
Inner North,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),129.0
Inner North,2016,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",1032.2
Inner North,2016,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",109.0
Inner North,2016,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),148.0
Inner North,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),829.8000000000001
Inner North,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),195.0
Inner North,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),308.0
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),120.3
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),47.0
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),0.0
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),0.0
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),8.5
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),6.0
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),1168.4
Inner North,2016,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),429.0
Inner North,2016,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),483.0
Inner North,2016,"Engagement in employment, education or training - Census : Fully engaged (%)",900.8
Inner North,2016,"Engagement in employment, education or training - Census : Not engaged (%)",351.5
Inner North,2016,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",159.4
Inner North,2016,Labour force status - Census : % of total Census responding population employed,896.4
Inner North,2016,Labour force status - Census : % of total labour force employed,1237.2
Inner North,2016,Labour force status - Census : % of total labour force unemployed,149.4
Inner North,2016,Labour force status - Census : Employed (no.),277.0
Inner North,2016,Labour force status - Census : In the labour force (no.),315.0
Inner North,2016,Labour force status - Census : Labour force participation rate (%),1007.3
Inner North,2016,Labour force status - Census : Not in the labour force (%),409.1
Inner North,2016,Labour force status - Census : Total responding population aged 15-64 years (no.),435.0
Inner North,2016,Labour force status - Census : Unemployed (no.),26.0
Inner North,2016,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),27.099999999999998
Inner North,2016,Language - Census : Speaks English at home (%),1319.1
Inner North,2016,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),367.3
Inner North,2016,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),166.0
Inner North,2016,Tenure type - Census : Renter (%),888.9
Inner North,2016,Tenure type - Census : Renter (no.),358.0
Inner North,2016,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),140.1
Inner North,2016,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),48.0
Inner North,2016,Unpaid child care - Census : Cared for other child/children (%),79.9
Inner North,2016,Unpaid child care - Census : Cared for other child/children (no.),27.0
Inner North,2016,Unpaid child care - Census : Cared for own child/children (%),200.8
Inner North,2016,Unpaid child care - Census : Cared for own child/children (no.),71.0
Inner North,2016,Unpaid child care - Census : Did not provide unpaid child care (%),1091.8
Inner North,2016,Unpaid child care - Census : Did not provide unpaid child care (no.),349.0
Inner North,2016,Unpaid child care - Census : Total provided unpaid child care (%),312.6
Inner North,2016,Unpaid child care - Census : Total provided unpaid child care (no.),101.0
Inner North,2016,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),388.6
Inner North,2016,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),128.0
Inner North,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),1204.2
Inner North,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),109.0
Inner North,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),119.0
Inner North,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),654.5
Inner North,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),107.0
Inner North,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),165.0
Inner North,2021,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",1317.1
Inner North,2021,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",195.0
Inner North,2021,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),219.0
Inner North,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),1099.4
Inner North,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),309.0
Inner North,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),419.0
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),63.5
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),35.0
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),6.6
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),6.0
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),10.0
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),5.0
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),1295.7
Inner North,2021,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),663.0
Inner North,2021,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),720.0
Inner North,2021,"Engagement in employment, education or training - Census : Fully engaged (%)",1057.9
Inner North,2021,"Engagement in employment, education or training - Census : Not engaged (%)",318.7
Inner North,2021,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",124.19999999999999
Inner North,2021,Labour force status - Census : % of total Census responding population employed,1101.3
Inner North,2021,Labour force status - Census : % of total labour force employed,1420.2
Inner North,2021,Labour force status - Census : % of total labour force unemployed,115.6
Inner North,2021,Labour force status - Census : Employed (no.),459.0
Inner North,2021,Labour force status - Census : In the labour force (no.),479.0
Inner North,2021,Labour force status - Census : Labour force participation rate (%),1160.1
Inner North,2021,Labour force status - Census : Not in the labour force (%),363.8
Inner North,2021,Labour force status - Census : Total responding population aged 15-64 years (no.),639.0
Inner North,2021,Labour force status - Census : Unemployed (no.),30.0
Inner North,2021,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),47.1
Inner North,2021,Language - Census : Speaks English at home (%),1399.9
Inner North,2021,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),467.6
Inner North,2021,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),259.0
Inner North,2021,Tenure type - Census : Renter (%),913.1
Inner North,2021,Tenure type - Census : Renter (no.),480.0
Inner North,2021,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),187.4
Inner North,2021,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),98.0
Inner North,2021,Unpaid child care - Census : Cared for other child/children (%),98.0
Inner North,2021,Unpaid child care - Census : Cared for other child/children (no.),47.0
Inner North,2021,Unpaid child care - Census : Cared for own child/children (%),137.8
Inner North,2021,Unpaid child care - Census : Cared for own child/children (no.),74.0
Inner North,2021,Unpaid child care - Census : Did not provide unpaid child care (%),1193.2
Inner North,2021,Unpaid child care - Census : Did not provide unpaid child care (no.),543.0
Inner North,2021,Unpaid child care - Census : Total provided unpaid child care (%),236.7
Inner North,2021,Unpaid child care - Census : Total provided unpaid child care (no.),126.0
Inner North,2021,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),307.7
Inner North,2021,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),139.0
Inner South,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),240.5
Inner South,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),19.0
Inner South,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),41.0
Inner South,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),145.3
Inner South,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),20.0
Inner South,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),62.0
Inner South,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",351.0
Inner South,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",49.0
Inner South,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),82.0
Inner South,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),567.0
Inner South,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),94.0
Inner South,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),161.0
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),24.5
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),11.0
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),15.2
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),19.0
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),9.7
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),3.0
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),25.4
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),15.0
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),609.2
Inner South,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),242.0
Inner South,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),300.0
Inner South,2011,"Engagement in employment, education or training - Census : Fully engaged (%)",421.7
Inner South,2011,"Engagement in employment, education or training - Census : Not engaged (%)",203.0
Inner South,2011,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",66.5
Inner South,2011,Labour force status - Census : % of total Census responding population employed,478.3
Inner South,2011,Labour force status - Census : % of total labour force employed,678.3
Inner South,2011,Labour force status - Census : % of total labour force unemployed,94.6
Inner South,2011,Labour force status - Census : Employed (no.),121.0
Inner South,2011,Labour force status - Census : In the labour force (no.),148.0
Inner South,2011,Labour force status - Census : Labour force participation rate (%),554.6
Inner South,2011,Labour force status - Census : Not in the labour force (%),203.7
Inner South,2011,Labour force status - Census : Total responding population aged 15-64 years (no.),247.0
Inner South,2011,Labour force status - Census : Unemployed (no.),20.0
Inner South,2011,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),11.3
Inner South,2011,Language - Census : Speaks English at home (%),853.6
Inner South,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),160.1
Inner South,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),58.0
Inner South,2011,Tenure type - Census : Renter (%),460.4
Inner South,2011,Tenure type - Census : Renter (no.),227.0
Inner South,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),56.7
Inner South,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),31.0
Inner South,2011,Unpaid child care - Census : Cared for other child/children (%),21.299999999999997
Inner South,2011,Unpaid child care - Census : Cared for other child/children (no.),10.0
Inner South,2011,Unpaid child care - Census : Cared for own child/children (%),106.8
Inner South,2011,Unpaid child care - Census : Cared for own child/children (no.),53.0
Inner South,2011,Unpaid child care - Census : Did not provide unpaid child care (%),735.1
Inner South,2011,Unpaid child care - Census : Did not provide unpaid child care (no.),183.0
Inner South,2011,Unpaid child care - Census : Total provided unpaid child care (%),144.7
Inner South,2011,Unpaid child care - Census : Total provided unpaid child care (no.),72.0
Inner South,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),54.2
Inner South,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),32.0
Inner South,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),372.7
Inner South,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),20.0
Inner South,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),23.0
Inner South,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),526.9
Inner South,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),39.0
Inner South,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),49.0
Inner South,2016,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",378.5
Inner South,2016,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",35.0
Inner South,2016,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),55.0
Inner South,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),510.5
Inner South,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),104.0
Inner South,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),157.0
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),84.8
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),23.0
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),100.0
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),5.0
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),0.0
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),0.0
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),753.9
Inner South,2016,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),230.0
Inner South,2016,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),256.0
Inner South,2016,"Engagement in employment, education or training - Census : Fully engaged (%)",418.8
Inner South,2016,"Engagement in employment, education or training - Census : Not engaged (%)",232.7
Inner South,2016,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",92.1
Inner South,2016,Labour force status - Census : % of total Census responding population employed,461.8
Inner South,2016,Labour force status - Census : % of total labour force employed,675.1
Inner South,2016,Labour force status - Census : % of total labour force unemployed,8.0
Inner South,2016,Labour force status - Census : Employed (no.),116.0
Inner South,2016,Labour force status - Census : In the labour force (no.),133.0
Inner South,2016,Labour force status - Census : Labour force participation rate (%),500.5
Inner South,2016,Labour force status - Census : Not in the labour force (%),290.3
Inner South,2016,Labour force status - Census : Total responding population aged 15-64 years (no.),212.0
Inner South,2016,Labour force status - Census : Unemployed (no.),4.0
Inner South,2016,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),6.9
Inner South,2016,Language - Census : Speaks English at home (%),880.7
Inner South,2016,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),189.3
Inner South,2016,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),54.0
Inner South,2016,Tenure type - Census : Renter (%),687.1
Inner South,2016,Tenure type - Census : Renter (no.),207.0
Inner South,2016,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),119.9
Inner South,2016,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),32.0
Inner South,2016,Unpaid child care - Census : Cared for other child/children (%),84.0
Inner South,2016,Unpaid child care - Census : Cared for other child/children (no.),12.0
Inner South,2016,Unpaid child care - Census : Cared for own child/children (%),42.3
Inner South,2016,Unpaid child care - Census : Cared for own child/children (no.),23.0
Inner South,2016,Unpaid child care - Census : Did not provide unpaid child care (%),568.1
Inner South,2016,Unpaid child care - Census : Did not provide unpaid child care (no.),173.0
Inner South,2016,Unpaid child care - Census : Total provided unpaid child care (%),144.9
Inner South,2016,Unpaid child care - Census : Total provided unpaid child care (no.),42.0
Inner South,2016,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),161.4
Inner South,2016,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),52.0
Inner South,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),430.0
Inner South,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),28.0
Inner South,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),38.0
Inner South,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),596.7
Inner South,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),60.0
Inner South,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),80.0
Inner South,2021,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",663.4
Inner South,2021,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",67.0
Inner South,2021,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),82.0
Inner South,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),613.4
Inner South,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),146.0
Inner South,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),211.0
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),32.4
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),19.0
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),0.0
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),0.0
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),25.599999999999998
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),8.0
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),715.7
Inner South,2021,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),337.0
Inner South,2021,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),369.0
Inner South,2021,"Engagement in employment, education or training - Census : Fully engaged (%)",512.9
Inner South,2021,"Engagement in employment, education or training - Census : Not engaged (%)",299.0
Inner South,2021,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",71.6
Inner South,2021,Labour force status - Census : % of total Census responding population employed,518.3
Inner South,2021,Labour force status - Census : % of total labour force employed,713.8
Inner South,2021,Labour force status - Census : % of total labour force unemployed,94.5
