Region,Year,Total Description,Value
Belconnen,2016,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",1560.1
Belconnen,2016,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",203.0
Belconnen,2016,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),310.0
Belconnen,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),1781.6
Belconnen,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),500.0
Belconnen,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),684.0
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),84.0
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),58.0
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),16.7
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),11.0
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),22.4
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),23.0
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),2274.5
Belconnen,2016,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),1320.0
Belconnen,2016,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),1415.0
Belconnen,2016,"Engagement in employment, education or training - Census : Fully engaged (%)",1435.4
Belconnen,2016,"Engagement in employment, education or training - Census : Not engaged (%)",706.2
Belconnen,2016,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",410.1
Belconnen,2016,Labour force status - Census : % of total Census responding population employed,1648.2
Belconnen,2016,Labour force status - Census : % of total labour force employed,2171.2
Belconnen,2016,Labour force status - Census : % of total labour force unemployed,215.9
Belconnen,2016,Labour force status - Census : Employed (no.),683.0
Belconnen,2016,Labour force status - Census : In the labour force (no.),755.0
Belconnen,2016,Labour force status - Census : Labour force participation rate (%),1843.1
Belconnen,2016,Labour force status - Census : Not in the labour force (%),556.3000000000001
Belconnen,2016,Labour force status - Census : Total responding population aged 15-64 years (no.),1009.0
Belconnen,2016,Labour force status - Census : Unemployed (no.),73.0
Belconnen,2016,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),31.6
Belconnen,2016,Language - Census : Speaks English at home (%),2320.0
Belconnen,2016,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),1205.2
Belconnen,2016,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),690.0
Belconnen,2016,Tenure type - Census : Renter (%),1192.8
Belconnen,2016,Tenure type - Census : Renter (no.),768.0
Belconnen,2016,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),324.3
Belconnen,2016,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),163.0
Belconnen,2016,Unpaid child care - Census : Cared for other child/children (%),144.5
Belconnen,2016,Unpaid child care - Census : Cared for other child/children (no.),74.0
Belconnen,2016,Unpaid child care - Census : Cared for own child/children (%),590.6
Belconnen,2016,Unpaid child care - Census : Cared for own child/children (no.),266.0
Belconnen,2016,Unpaid child care - Census : Did not provide unpaid child care (%),1498.3
Belconnen,2016,Unpaid child care - Census : Did not provide unpaid child care (no.),696.0
Belconnen,2016,Unpaid child care - Census : Total provided unpaid child care (%),777.3
Belconnen,2016,Unpaid child care - Census : Total provided unpaid child care (no.),348.0
Belconnen,2016,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),458.8
Belconnen,2016,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),196.0
Belconnen,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),1527.1
Belconnen,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),179.0
Belconnen,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),233.0
Belconnen,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),1862.3
Belconnen,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),263.0
Belconnen,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),368.0
Belconnen,2021,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",1640.8
Belconnen,2021,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",307.0
Belconnen,2021,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),430.0
Belconnen,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),1925.5
Belconnen,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),756.0
Belconnen,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),984.0
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),16.700000000000003
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),15.0
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),138.0
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),135.0
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),0.0
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),0.0
Belconnen,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),42.2
