Crime,Year,Quarter,Number,Population,Rate,Date,COVID
TINs,2019,Q2,2032,423768,4.795076551320534,2019-04-01,Pre
TINs,2019,Q3,1792,423768,4.2287289271488175,2019-07-01,Pre
TINs,2019,Q4,2311,423768,5.453455664420154,2019-10-01,Pre
TINs,2020,Q1,2618,429638,6.093501971427108,2020-01-01,Pre
TINs,2020,Q2,2508,429638,5.837472476829331,2020-04-01,During
TINs,2020,Q3,2088,429638,4.859905315637817,2020-07-01,During
TINs,2020,Q4,2371,429638,5.518599379012099,2020-10-01,During
TINs,2021,Q1,1416,433318,3.2678079378193385,2021-01-01,During
TINs,2021,Q2,2019,433318,4.659395640153421,2021-04-01,During
TINs,2021,Q3,1016,433318,2.344698350864723,2021-07-01,During
TINs,2021,Q4,1308,433318,3.0185683493415922,2021-10-01,Post
TINs,2022,Q1,901,439576,2.049702440533605,2022-01-01,Post
TINs,2022,Q2,1040,439576,2.3659162465648715,2022-04-01,Post
TINs,2022,Q3,1088,439576,2.4751123810217117,2022-07-01,Post
TINs,2022,Q4,1304,439576,2.9664949860774925,2022-10-01,Post
TINs,2023,Q1,1249,446157,2.7994629693134927,2023-01-01,Post
TINs,2023,Q2,1773,446157,3.97393742561475,2023-04-01,Post
TINs,2023,Q3,1325,446157,2.9698065927464996,2023-07-01,Post
TINs,2023,Q4,1011,446157,2.2660184643522348,2023-10-01,Post
TINs,2024,Q1,1184,450167,2.6301350387744993,2024-01-01,Post
TINs,2024,Q2,1151,450167,2.5568289101600072,2024-04-01,Post
TINs,2024,Q3,1319,450167,2.930023746742876,2024-07-01,Post
TINs,2024,Q4,1707,450167,3.791926107422357,2024-10-01,Post
TINs,2025,Q1,2353,453717,5.186052098554827,2025-01-01,Post
TINs,2025,Q2,2217,453717,4.886305780916298,2025-04-01,Post
Theft,2014,Q1,2742,386583,7.092914070199672,2014-01-01,Pre
Theft,2014,Q2,2411,386583,6.236694319201827,2014-04-01,Pre
Theft,2014,Q3,2283,386583,5.905588191927736,2014-07-01,Pre
Theft,2014,Q4,2621,386583,6.779915309260883,2014-10-01,Pre
Theft,2015,Q1,2682,393297,6.819273983783248,2015-01-01,Pre
Theft,2015,Q2,3280,393297,8.339753417900466,2015-04-01,Pre
Theft,2015,Q3,2792,393297,7.098960836212836,2015-07-01,Pre
Theft,2015,Q4,3346,393297,8.507565529358219,2015-10-01,Pre
Theft,2016,Q1,2413,400106,6.03090181102008,2016-01-01,Pre
Theft,2016,Q2,3069,400106,7.670467326158568,2016-04-01,Pre
Theft,2016,Q3,2770,400106,6.923165361179287,2016-07-01,Pre
Theft,2016,Q4,2337,400106,5.840952147680865,2016-10-01,Pre
Theft,2017,Q1,2949,410124,7.190508236533341,2017-01-01,Pre
Theft,2017,Q2,2560,410124,6.242014610215446,2017-04-01,Pre
Theft,2017,Q3,2681,410124,6.537047332026411,2017-07-01,Pre
Theft,2017,Q4,3020,410124,7.363626610488534,2017-10-01,Pre
Theft,2018,Q1,2503,417279,5.998384773736517,2018-01-01,Pre
Theft,2018,Q2,2721,417279,6.520817007326034,2018-04-01,Pre
Theft,2018,Q3,2274,417279,5.449591280653951,2018-07-01,Pre
Theft,2018,Q4,2368,417279,5.674860225412734,2018-10-01,Pre
Theft,2019,Q1,2537,423768,5.9867663438485215,2019-01-01,Pre
Theft,2019,Q2,2439,423768,5.75550773064507,2019-04-01,Pre
Theft,2019,Q3,2347,423768,5.538407808045912,2019-07-01,Pre
Theft,2019,Q4,2617,423768,6.175548885239094,2019-10-01,Pre
Theft,2020,Q1,2481,429638,5.774628873609877,2020-01-01,Pre
Theft,2020,Q2,1650,429638,3.8404424189666653,2020-04-01,During
Theft,2020,Q3,1826,429638,4.250089610323109,2020-07-01,During
Theft,2020,Q4,2121,429638,4.9367141640171495,2020-10-01,During
Theft,2021,Q1,2216,433318,5.114027111728569,2021-01-01,During
Theft,2021,Q2,2580,433318,5.954056835857269,2021-04-01,During
Theft,2021,Q3,2095,433318,4.834786461674798,2021-07-01,During
Theft,2021,Q4,2211,433318,5.102488241891637,2021-10-01,Post
Theft,2022,Q1,2203,439576,5.011647587675396,2022-01-01,Post
Theft,2022,Q2,2421,439576,5.507580031666879,2022-04-01,Post
Theft,2022,Q3,2042,439576,4.645385553351411,2022-07-01,Post
Theft,2022,Q4,1801,439576,4.097129961599359,2022-10-01,Post
Theft,2023,Q1,2113,446157,4.736001004130833,2023-01-01,Post
Theft,2023,Q2,1988,446157,4.455830570852862,2023-04-01,Post
Theft,2023,Q3,2092,446157,4.688932371340134,2023-07-01,Post
Theft,2023,Q4,1951,446157,4.372900122602582,2023-10-01,Post
Theft,2024,Q1,1991,450167,4.422803093074348,2024-01-01,Post
Theft,2024,Q2,1663,450167,3.694184602603034,2024-04-01,Post
Theft,2024,Q3,1788,450167,3.9718593322033824,2024-07-01,Post
Theft,2024,Q4,1920,450167,4.2650838466613505,2024-10-01,Post
Theft,2025,Q1,1891,453717,4.167796225400415,2025-01-01,Post
Theft,2025,Q2,1784,453717,3.93196640196422,2025-04-01,Post
