Suburb,Total Description,Year,Number,Region,Population,Rate,COVID
Aranda,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2016,13.0,Belconnen,2447,5.312627707396812,Pre
Aranda,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2021,25.0,Belconnen,2583,9.67866821525358,During
Aranda,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2011,11.0,Belconnen,2554,4.306969459671104,Pre
Aranda,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2016,13.0,Belconnen,2447,5.312627707396812,Pre
Aranda,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2021,28.0,Belconnen,2583,10.84010840108401,During
Aranda,Labour force status - Census : Employed (no.),2011,7.0,Belconnen,2554,2.74079874706343,Pre
Aranda,Labour force status - Census : Employed (no.),2016,10.0,Belconnen,2447,4.086636697997548,Pre
Aranda,Labour force status - Census : Employed (no.),2021,12.0,Belconnen,2583,4.645760743321719,During
Aranda,Labour force status - Census : In the labour force (no.),2011,9.0,Belconnen,2554,3.5238841033672674,Pre
Aranda,Labour force status - Census : In the labour force (no.),2016,10.0,Belconnen,2447,4.086636697997548,Pre
Aranda,Labour force status - Census : In the labour force (no.),2021,12.0,Belconnen,2583,4.645760743321719,During
Aranda,Labour force status - Census : Total responding population aged 15-64 years (no.),2011,11.0,Belconnen,2554,4.306969459671104,Pre
Aranda,Labour force status - Census : Total responding population aged 15-64 years (no.),2016,8.0,Belconnen,2447,3.269309358398038,Pre
Aranda,Labour force status - Census : Total responding population aged 15-64 years (no.),2021,18.0,Belconnen,2583,6.968641114982578,During
Aranda,Labour force status - Census : Unemployed (no.),2011,0.0,Belconnen,2554,0.0,Pre
Aranda,Labour force status - Census : Unemployed (no.),2016,0.0,Belconnen,2447,0.0,Pre
Aranda,Labour force status - Census : Unemployed (no.),2021,0.0,Belconnen,2583,0.0,During
Aranda,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2011,3.0,Belconnen,2554,1.1746280344557558,Pre
