Region,Total Description,Year,Number,Population,Rate,Covid
Belconnen,Labour force status - Census : In the labour force (no.),2021,1073.0,102131,10.506114695831824,During
Belconnen,Labour force status - Census : Total responding population aged 15-64 years (no.),2011,738.0,95645,7.7160332479481415,Pre
Belconnen,Labour force status - Census : Total responding population aged 15-64 years (no.),2016,1009.0,97106,10.390707062385435,Pre
Belconnen,Labour force status - Census : Total responding population aged 15-64 years (no.),2021,1403.0,102131,13.737259010486532,During
Belconnen,Labour force status - Census : Unemployed (no.),2011,36.0,95645,0.3763918657535679,Pre
Belconnen,Labour force status - Census : Unemployed (no.),2016,73.0,97106,0.7517558132350216,Pre
Belconnen,Labour force status - Census : Unemployed (no.),2021,60.0,102131,0.5874807844826742,During
Belconnen,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2011,453.0,95645,4.736264310732396,Pre
Belconnen,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2016,690.0,97106,7.105637138796779,Pre
Belconnen,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2021,956.0,102131,9.360527166090609,During
Belconnen,Tenure type - Census : Renter (no.),2011,585.0,95645,6.116367818495478,Pre
Belconnen,Tenure type - Census : Renter (no.),2016,768.0,97106,7.9088830762259805,Pre
Belconnen,Tenure type - Census : Renter (no.),2021,1058.0,102131,10.359244499711155,During
Belconnen,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2011,100.0,95645,1.0455329604265775,Pre
Belconnen,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2016,163.0,97106,1.6785780487302537,Pre
Belconnen,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2021,246.0,102131,2.408671216378964,During
Belconnen,Unpaid child care - Census : Cared for other child/children (no.),2011,73.0,95645,0.7632390611114016,Pre
Belconnen,Unpaid child care - Census : Cared for other child/children (no.),2016,74.0,97106,0.7620538380738575,Pre
Belconnen,Unpaid child care - Census : Cared for other child/children (no.),2021,124.0,102131,1.2141269545975266,During
Belconnen,Unpaid child care - Census : Cared for own child/children (no.),2011,161.0,95645,1.6833080662867899,Pre
Belconnen,Unpaid child care - Census : Cared for own child/children (no.),2016,266.0,97106,2.7392746071303526,Pre
Belconnen,Unpaid child care - Census : Cared for own child/children (no.),2021,324.0,102131,3.1723962362064406,During
Belconnen,Unpaid child care - Census : Did not provide unpaid child care (no.),2011,502.0,95645,5.248575461341419,Pre
Belconnen,Unpaid child care - Census : Did not provide unpaid child care (no.),2016,696.0,97106,7.167425287829794,Pre
Belconnen,Unpaid child care - Census : Did not provide unpaid child care (no.),2021,979.0,102131,9.585728133475634,During
Belconnen,Unpaid child care - Census : Total provided unpaid child care (no.),2011,261.0,95645,2.728841026713367,Pre
Belconnen,Unpaid child care - Census : Total provided unpaid child care (no.),2016,348.0,97106,3.583712643914897,Pre
Belconnen,Unpaid child care - Census : Total provided unpaid child care (no.),2021,476.0,102131,4.660680890229216,During
Belconnen,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2011,162.0,95645,1.6937633958910556,Pre
Belconnen,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2016,196.0,97106,2.0184128684118385,Pre
Belconnen,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2021,274.0,102131,2.6828289158042122,During
Gungahlin,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2011,30.0,48334,0.6206810940538751,Pre
Gungahlin,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2016,61.0,71582,0.8521695398284486,Pre
Gungahlin,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2021,122.0,77021,1.5839835888913414,During
Gungahlin,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2011,64.0,48334,1.3241196673149336,Pre
