Total Description,Year,Number,Population,Rate,COVID
Labour force status - Census : Employed (no.),2021,3866.0,433318,8.921854157916357,During
Labour force status - Census : In the labour force (no.),2011,2294.0,366055,6.266817827922034,Pre
Labour force status - Census : In the labour force (no.),2016,2984.0,400106,7.4580236237397095,Pre
Labour force status - Census : In the labour force (no.),2021,4183.0,433318,9.65341850557789,During
Labour force status - Census : Total responding population aged 15-64 years (no.),2011,3208.0,366055,8.763710371392277,Pre
Labour force status - Census : Total responding population aged 15-64 years (no.),2016,4028.0,400106,10.0673321569784,Pre
Labour force status - Census : Total responding population aged 15-64 years (no.),2021,5550.0,433318,12.808145518995287,During
Labour force status - Census : Unemployed (no.),2011,168.0,366055,0.4589474259332614,Pre
Labour force status - Census : Unemployed (no.),2016,256.0,400106,0.639830444932093,Pre
Labour force status - Census : Unemployed (no.),2021,288.0,433318,0.6646389026073231,During
Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2011,1865.0,366055,5.094862793842455,Pre
Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2016,2594.0,400106,6.483281930288474,Pre
Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2021,3556.0,433318,8.20644422802653,During
Tenure type - Census : Renter (no.),2011,2645.0,366055,7.225690128532597,Pre
Tenure type - Census : Renter (no.),2016,3141.0,400106,7.850419638795719,Pre
Tenure type - Census : Renter (no.),2021,4379.0,433318,10.10574220318565,During
Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2011,421.0,366055,1.1501003947494228,Pre
Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2016,619.0,400106,1.5470900211443968,Pre
Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2021,905.0,433318,2.0885354404848173,During
Unpaid child care - Census : Cared for other child/children (no.),2011,293.0,366055,0.800426165466938,Pre
Unpaid child care - Census : Cared for other child/children (no.),2016,340.0,400106,0.8497748096754361,Pre
Unpaid child care - Census : Cared for other child/children (no.),2021,443.0,433318,1.0223438675522365,During
Unpaid child care - Census : Cared for own child/children (no.),2011,701.0,366055,1.9150127713048586,Pre
Unpaid child care - Census : Cared for own child/children (no.),2016,941.0,400106,2.351876752660545,Pre
Unpaid child care - Census : Cared for own child/children (no.),2021,1175.0,433318,2.7116344116791824,During
Unpaid child care - Census : Did not provide unpaid child care (no.),2011,2123.0,366055,5.799674912239964,Pre
Unpaid child care - Census : Did not provide unpaid child care (no.),2016,2813.0,400106,7.030636881226475,Pre
Unpaid child care - Census : Did not provide unpaid child care (no.),2021,4140.0,433318,9.554184224980268,During
Unpaid child care - Census : Total provided unpaid child care (no.),2011,1081.0,366055,2.9531081394872354,Pre
Unpaid child care - Census : Total provided unpaid child care (no.),2016,1358.0,400106,3.394100563350712,Pre
Unpaid child care - Census : Total provided unpaid child care (no.),2021,1741.0,433318,4.017834477219964,During
Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2011,631.0,366055,1.7237846771659997,Pre
Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2016,920.0,400106,2.299390661474709,Pre
Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2021,945.0,433318,2.180846399180279,During
